Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
LDA,OSTEO,duloxetine_v_nopain,0.4358974358974359,,0.6153846153846154,0.5897435897435898,0.5384615384615384,0.20512820512820512,0.0,0.5641025641025641,0.6153846153846154,0.5128205128205128,-0.06730769230769224,-0.12820512820512814,-0.11965811965811962,0.10256410256410264,0.10256410256410264,0.10256410256410264
SVM,OSTEO,duloxetine_v_nopain,0.7179487179487181,,0.6153846153846154,0.6410256410256411,0.6923076923076923,0.02564102564102564,0.5128205128205128,0.5384615384615384,0.6666666666666666,0.5128205128205128,0.03846153846153855,-0.02564102564102566,0.05982905982905973,0.2051282051282053,0.17948717948717952,0.15384615384615385
KNN-1,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.5641025641025641,0.6153846153846154,0.6410256410256411,0.4615384615384616,0.4871794871794872,0.38461538461538464,0.4358974358974359,0.5128205128205128,1.1102230246251565e-16,-0.03076923076923066,-0.07692307692307687,0.1282051282051283,0.1282051282051283,-0.02564102564102555
KNN-2,OSTEO,duloxetine_v_nopain,0.4615384615384616,,0.6666666666666666,0.4871794871794872,0.6410256410256411,0.4615384615384616,0.4871794871794872,0.3076923076923077,0.4871794871794872,0.5128205128205128,-0.012820512820512775,-0.03589743589743577,-0.08547008547008539,0.15384615384615385,0.1282051282051283,-0.02564102564102555
KNN-3,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.5128205128205128,0.5384615384615384,0.5897435897435898,0.41025641025641024,0.4871794871794872,0.3333333333333333,0.5128205128205128,0.5128205128205128,-0.02564102564102566,-0.046153846153846156,-0.06837606837606836,0.07692307692307698,0.07692307692307698,0.0
KNN-4,OSTEO,duloxetine_v_nopain,0.5384615384615384,,0.4615384615384616,0.4871794871794872,0.5897435897435898,0.4358974358974359,0.4871794871794872,0.41025641025641024,0.5897435897435898,0.5128205128205128,-0.012820512820512775,-0.01025641025641022,-0.017094017094017033,0.07692307692307698,0.07692307692307698,0.07692307692307698
KNN-5,OSTEO,duloxetine_v_nopain,0.7435897435897436,,0.41025641025641024,0.5641025641025641,0.7179487179487181,0.38461538461538464,0.4871794871794872,0.41025641025641024,0.5384615384615384,0.5128205128205128,0.019230769230769273,-0.00512820512820511,-0.03418803418803412,0.23076923076923084,0.2051282051282053,0.02564102564102566
KNN-6,OSTEO,duloxetine_v_nopain,0.6923076923076923,,0.5128205128205128,0.4871794871794872,0.7179487179487181,0.41025641025641024,0.4871794871794872,0.41025641025641024,0.5641025641025641,0.5128205128205128,0.022435897435897467,0.00512820512820511,-0.02564102564102555,0.2051282051282053,0.2051282051282053,0.05128205128205132
KNN-7,OSTEO,duloxetine_v_nopain,0.6410256410256411,,0.4358974358974359,0.6410256410256411,0.7179487179487181,0.5384615384615384,0.4871794871794872,0.41025641025641024,0.5384615384615384,0.5128205128205128,0.03846153846153855,0.02564102564102566,-0.03418803418803412,0.2051282051282053,0.2051282051282053,0.02564102564102566
KNN-8,OSTEO,duloxetine_v_nopain,0.6923076923076923,,0.5384615384615384,0.5897435897435898,0.7179487179487181,0.5384615384615384,0.4871794871794872,0.41025641025641024,0.5128205128205128,0.5128205128205128,0.04807692307692313,0.02051282051282055,-0.04273504273504275,0.2051282051282053,0.2051282051282053,0.0
