Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
KNN-2,OSTEO,duloxetine_v_pain,0.4821428571428572,,0.4107142857142857,0.4821428571428572,0.5178571428571429,0.44642857142857145,0.3392857142857143,0.4642857142857143,0.4642857142857143,0.6607142857142857,-0.2098214285714285,-0.2142857142857142,-0.23809523809523808,-0.1428571428571428,-0.1428571428571428,-0.1964285714285714
KNN-3,OSTEO,duloxetine_v_pain,0.5535714285714286,,0.4821428571428572,0.5535714285714286,0.4642857142857143,0.4107142857142857,0.3392857142857143,0.6071428571428571,0.5178571428571429,0.6607142857142857,-0.16964285714285715,-0.19285714285714284,-0.17261904761904756,-0.0535714285714286,-0.0535714285714286,-0.0535714285714286
KNN-4,OSTEO,duloxetine_v_pain,0.5178571428571429,,0.5357142857142857,0.5178571428571429,0.4107142857142857,0.4107142857142857,0.3392857142857143,0.5357142857142857,0.4642857142857143,0.6607142857142857,-0.1941964285714285,-0.2285714285714286,-0.21428571428571425,-0.125,-0.125,-0.125
KNN-5,OSTEO,duloxetine_v_pain,0.42857142857142855,,0.5714285714285714,0.4107142857142857,0.6964285714285714,0.4642857142857143,0.3392857142857143,0.5,0.5357142857142857,0.6607142857142857,-0.1674107142857143,-0.15357142857142858,-0.20238095238095238,0.0357142857142857,0.0357142857142857,-0.125
KNN-6,OSTEO,duloxetine_v_pain,0.44642857142857145,,0.5714285714285714,0.42857142857142855,0.6785714285714286,0.4642857142857143,0.3392857142857143,0.5178571428571429,0.5178571428571429,0.6607142857142857,-0.16517857142857145,-0.15714285714285714,-0.20238095238095238,0.017857142857142905,0.017857142857142905,-0.1428571428571428
KNN-7,OSTEO,duloxetine_v_pain,0.5178571428571429,,0.5,0.5178571428571429,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.5,0.5892857142857143,0.6607142857142857,-0.1428571428571429,-0.13928571428571423,-0.18452380952380948,0.0357142857142857,0.0357142857142857,-0.0714285714285714
KNN-8,OSTEO,duloxetine_v_pain,0.4821428571428572,,0.5535714285714286,0.4821428571428572,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.5535714285714286,0.5357142857142857,0.6607142857142857,-0.1450892857142857,-0.13928571428571435,-0.18452380952380948,0.0357142857142857,0.0357142857142857,-0.1071428571428571
KNN-9,OSTEO,duloxetine_v_pain,0.6071428571428571,,0.625,0.5892857142857143,0.6964285714285714,0.6071428571428571,0.3392857142857143,0.6428571428571429,0.6607142857142857,0.6607142857142857,-0.0647321428571428,-0.07142857142857151,-0.11309523809523814,0.0357142857142857,0.0357142857142857,0.0
KNN-10,OSTEO,duloxetine_v_pain,0.4642857142857143,,0.625,0.4642857142857143,0.6964285714285714,0.4821428571428572,0.3392857142857143,0.625,0.5714285714285714,0.6607142857142857,-0.1272321428571428,-0.11785714285714277,-0.14880952380952384,0.0357142857142857,0.0357142857142857,-0.0357142857142857
KNN-20,OSTEO,duloxetine_v_pain,0.6428571428571429,,0.5714285714285714,0.6607142857142857,0.6964285714285714,0.5535714285714286,0.3392857142857143,0.6428571428571429,0.6607142857142857,0.6607142857142857,-0.0647321428571428,-0.08214285714285718,-0.11309523809523814,0.0357142857142857,0.0357142857142857,0.0
